Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Tesla,model s performance,Tesla model s performance,443990,772,1140,disc (front + rear),4WD,100,639,296,497.9,196.4,144.5,2417,,,5,5,21,261,745,2.5,150,
Tesla,model x long range plus,Tesla model x long range plus,407990,525,755,disc (front + rear),4WD,100,561,296.5,503.7,207,162.6,2464,,,7,5,20,250,857,4.6,150,
Tesla,model x performance,Tesla model x performance,482990,772,1140,disc (front + rear),4WD,100,548,296.5,503.7,207,162.6,2524,,,7,5,20,261,857,2.8,150,
Tesla,model 3 long range dual motor,Tesla model 3 long range dual motor,,525,755,disc (front + rear),4WD,,450,,,,,,,,5,,,233,,4.6,940,
Tesla,model 3 standard range plus,Tesla model 3 standard range plus,,211,510,disc (front + rear),2WD,,310,,,,,,,,5,,,225,,5.6,650,
Tesla,model y long range dual motor,Tesla model y long range dual motor,,525,755,disc (front + rear),4WD,,425,,,,,,,,7,,,217,,5.1,930,
Tesla,model 3 long range dual motor,Tesla model 3 long range dual motor,,525,755,disc (front + rear),4WD,,435,,,,,,,,5,,,261,,3.4,910,
Tesla,cybertruck tri motor,Tesla cybertruck tri motor,,850,1328,disc (front + rear),4WD,,750,,,,,,,,6,,,210,,3,710,
Tesla,model s long range,Tesla model s long range,,772,1140,disc (front + rear),4WD,,515,,,,,,,,5,,,250,,3.8,560,
Tesla,roadster,Tesla roadster,,1100,10000,disc (front + rear),4WD,,970,,,,,,,,4,,,410,,2.1,920,
Tesla,model x long range,Tesla model x long range,,670,966,disc (front + rear),4WD,,450,,,,,,,,7,,,250,,4.6,490,
Tesla,model s performance,Tesla model s performance,,772,1140,disc (front + rear),4WD,,505,,,,,,,,5,,,261,,2.5,550,
Tesla,model y long range dual motor,Tesla model y long range dual motor,,525,755,disc (front + rear),4WD,,410,,,,,,,,7,,,241,,3.7,900,
Tesla,cybertruck dual motor,Tesla cybertruck dual motor,,690,1050,disc (front + rear),4WD,,460,,,,,,,,6,,,190,,5,710,
Tesla,model x performance,Tesla model x performance,,760,966,disc (front + rear),4WD,,440,,,,,,,,7,,,250,,2.8,480,
Tesla,cybertruck single motor,Tesla cybertruck single motor,,360,1050,,2WD,,390,,,,,,,,6,,,180,,7,740,
Volkswagen,e-up!,Volkswagen e-up!,97990,83,210,disc (front) + drum (rear),2WD,32.3,258,241.7,360,164.5,149.2,1235,1530,370,4,5,14,130,250,11.9,40,14
Volkswagen,id.3 pro performance,Volkswagen id.3 pro performance,155890,204,310,disc (front) + drum (rear),2WD,58,425,277,426.1,180.9,156.8,1805,2270,540,5,5,18,160,385,7.3,100,15.4
Volkswagen,id.3 pro s,Volkswagen id.3 pro s,179990,204,310,disc (front) + drum (rear),2WD,77,549,277,426.1,180.9,156.8,1934,2280,412,5,5,19,160,385,7.9,125,15.9
Volkswagen,id.4 1st,Volkswagen id.4 1st,202390,204,310,disc (front) + drum (rear),2WD,77,500,277.1,458.4,185.2,163.1,2124,2660,661,5,5,20,160,543,8.5,125,18
Volkswagen,id.3 pure,Volkswagen id.3 pure,,204,310,disc (front) + drum (rear),2WD,,270,,,,,,,,5,,,160,,10,250,
Volkswagen,e-golf,Volkswagen e-golf,,,310,disc (front) + drum (rear),2WD,,190,,,,,,,,5,,,150,,9.6,220,
Volkswagen,id.3 pro s,Volkswagen id.3 pro s,,150,310,disc (front) + drum (rear),2WD,,440,,,,,,,,4,,,160,,7.9,590,
Volkswagen,e-up!,Volkswagen e-up!,,83,210,disc (front) + drum (rear),2WD,93.4,195,,,,,,,,4,,,130,,11.9,170,
Volkswagen,id.4,Volkswagen id.4,,150,310,disc (front) + drum (rear),2WD,,420,,,,,,,,5,,,,,7.5,560,
Volkswagen,id.3 pro,Volkswagen id.3 pro,,204,310,disc (front) + drum (rear),2WD,,350,,,,,,,,5,,,160,,9,490,
Volkswagen,id.3 1st,Volkswagen id.3 1st,,204,310,disc (front) + drum (rear),2WD,93.4,340,,,,,,,,5,,,160,,7.3,470,
Volkswagen,id.3 pro performance,Volkswagen id.3 pro performance,,204,310,disc (front) + drum (rear),2WD,,340,,,,,,,,5,,,160,,7.3,470,
Volvo,xc40 p8 4wd recharge,Volvo xc40 p8 4wd recharge,,150,310,,4WD,,375,,,,,,,,5,,,180,,4.9,470,
